// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff
//
// Novice
0,20000,0,500,100,	420,570,590,2000,2000,2000,520,2000,520,570,670,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,670
// Swordman
1,28000,70,500,200,	420,490,490,560,590,670,570,620,520,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Magician
2,22000,30,500,600,	520,520,2000,2000,2000,2000,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,570
// Archer
3,26000,50,500,200,	420,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Acolyte
4,24000,40,500,500,	420,2000,2000,2000,2000,2000,2000,2000,470,520,620,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,620
// Merchant
5,28000,40,500,300,	420,540,540,2000,2000,2000,500,570,520,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Thief
6,24000,50,500,200,	420,500,520,2000,2000,2000,620,2000,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Knight
7,28000,150,500,300,	420,510,470,540,570,620,520,570,470,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Priest
8,26000,75,500,800,	420,2000,2000,2000,2000,2000,2000,2000,450,500,620,2000,620,2000,2000,460,2000,2000,2000,2000,2000,2000,2000,620
// Wizard
9,24000,55,500,900,	520,560,2000,2000,2000,2000,2000,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,550
// Blacksmith
10,30000,90,500,400,	420,520,520,2000,2000,2000,480,550,500,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Hunter
11,27000,85,500,400,	420,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Assassin
12,24000,110,500,400,	420,440,520,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,440,2000,2000,2000,2000,2000,1300,2000
// Knight (Peco)
13,28000,150,500,300,	420,510,470,540,570,620,520,570,470,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Crusader
14,28000,110,700,470,	420,500,450,570,550,540,520,570,470,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Monk
15,26000,90,650,470,	420,2000,2000,2000,2000,2000,2000,2000,450,500,620,2000,420,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,600
// Sage
16,24000,75,500,700,	470,550,620,2000,2000,2000,2000,2000,2000,2000,570,2000,2000,2000,2000,450,2000,2000,2000,2000,2000,2000,2000,570
// Rogue
17,24000,85,500,500,	420,470,520,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Alchemist
18,30000,90,500,400,	420,520,470,2000,2000,2000,470,540,470,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Bard
